Name	Set	ImageFile	Cost_Influence	Type	SubType	Diplomacy	Intrigue	Psi	Leadership	Military	Marks	Rarity	Fixeds	Collector	Text
Avert Incident [Pr]	Premier	01-019	4	Event		  	  	  	  	  		Common		01-019 C2	Tension levels toward your race cannot increase for the rest of the turn.
Babylon 5 Unrest [Pr]	Premier	01-020	6	Enhancement	Babylon 5	  	  	  	  	  		Rare 2		01-020 R2	Babylon 5 loses 1 influence each turn during the draw round.  Any player may initiate a Diplomacy conflict with 5 automatic opposition; if this conflict is successful, discard this enhancement.
Backroom Dealing [Pr]	Premier	01-021	7	Enhancement	Character	  	  	  	  	  		Uncommon		01-021 U2	Target your ambassador.  During a vote, you may alter one abstain vote cast by an ambassador beside the Vorlons (whether actively played or not) to a yes or no.  Apply any amount of influence when you do this. Any player may apply 1 more influence than you applied to return the vote to abstain.
Balance [Pr]	Premier	01-022	  	Event		  	  	  	  	  		Fixed	Centauri	01-022 F2	No player may apply more influence during this turn than the current influence rating of the least influential player.
Battle Tested [Pr]	Premier	01-023	  	Aftermath	Military Participant	  	  	  	  	  		Uncommon		01-023 U2	Target a character who led a participating fleet. Increase the target's Leadership by 1.  If the target's fleet supported a Lost conflict or opposed a won conflict, the total damage he can sustain drops by 2.
Bester [Pr]	Premier	01-024	12	Character	Human	  	5	12	  	  		Rare 2		01-024 R2	Psi Cop. You must draw 2 free cards (instead of 1) per turn while you control Bester.  Bester cannot become an Inner Circle character. [ERRATA]
Bio-Weapon Discovery [Pr]	Premier	01-025	  	Conflict	Intrigue	  	  	  	  	  		Rare 2		01-025 R2	Target one fleet you control.  If you win by 5 or more, this conflict becomes a fleet enhancement for that fleet.  During each ready round, place a bio-weapon token on the fleet.  The target fleet gains +1 Military for each bio-weapon token to a maximum of +5.  If you lose by 5 or more, discard one supporting or non-ambassador Inner Circle character. [ERRATA]
Black Market [Pr]	Premier	01-026	  	Conflict	Intrigue	  	  	  	  	  	Doom	Uncommon		01-026 U2	Your ambassador gains a Doom Mark.  If successful, this card becomes a faction enhancement which reduces the cost for you to play or sponsor any card by 1 for each Inner Circle character you rotate when playing the card. [ERRATA]
Blockade [Pr]	Premier	01-027	  	Conflict	Military	  	  	  	  	  		Rare 2		01-027 R2	Target one race with whom you have a tension of 4 or 5.  If successful, reduce the influence rating of all factions of the target race to the level at which they began the turn  (to a minimum of 10).  Those factions cannot gain any more influence this turn, and this conflict is returned to you hand. [ERRATA]
Blood Oath [Pr]	Premier	01-028	  	Aftermath	Lost	  	  	  	  	  	Strife	Uncommon		01-028 U2	Target a participant character, and choose a player whose character opposed the conflict.  The target participant character gains a Strife Mark when attacking characters controlled by that player.
Book of G'Quan	Premier	01-029	8	Enhancement	Narn Character	  	  	  	  	  	Destiny	Fixed	Narn	01-029 F2	Limited.  Target character gains +2 Diplomacy and +1 Leadership while enhanced by this card.  Character gains a Destiny Mark.
Border Raid [Pr]	Premier	01-030	  	Conflict	Military	  	  	  	  	  		Fixed	Centauri, Human, Narn, Non-Aligned	01-030 F2	Target another faction.  Only the following cards can participate in this conflict: One fleet from you and your target, and leaders for those fleets.  If this conflict is uncontested, the target loses 1 influence.  If you win by 5 or more, gain +1 influence.  Tensions between your races increase by 1. [ERRATA]
Campaign for Support [Pr]	Premier	01-031	  	Conflict	Diplomacy	  	  	  	  	  		Common		01-031 C2	Any player may be supported in this conflict.  Whichever player generates the highest total gains an influence bonus on his next turn equal to the amount by which he exceeded the next highest total. This influence may only be applied to sponsor a new character, and it does not count towards power.
Carn Mollari [Pr]	Premier	01-032	4	Character	Centauri	1	1	  	  	  		Fixed	Centauri	01-032 F2	
Carpe Diem [Pr]	Premier	01-033	5	Event		  	  	  	  	  		Rare 2		01-033 R2	Each player may only play Carpe Diem once per game.   Select an event in your discard pile.  Show that card to your opponents.  Put that event in your hand. [ERRATA]
Casualty Reports [Pr]	Premier	01-034	  	Aftermath	Military Participant	  	  	  	  	  		Rare 2		01-034 R2	Each player with a participant supporting character who led a fleet in the conflict must discard one of those characters. (Discard this aftermath after play.) [ERRATA]
Catherine Sakai [Pr]	Premier	01-035	5	Character	Neutral	1	  	  	  	  		Uncommon		01-035 U2	Rotate Catherine Sakai and apply 5 influence.  Go through your deck until you find the first location.  Put the location in your hand and shuffle your deck.
Censure [Pr]	Premier	01-036	1	Enhancement	Fleet	  	  	  	  	  		Uncommon		01-036 U2	Rotate your ambassador and select a target fleet. Call a Babylon 5 vote.  If the vote passes, Babylon 5 gains +1 influence and the target fleet loses Military equal to half Babylon 5's influence, rounded up, to a minimum ability of 1.
Centauri Agent [Pr]	Premier	01-037	4	Character	Centauri	  	3	  	  	  		Fixed	Centauri	01-037 F2	Multiple.
Centauri Aide [Pr]	Premier	01-038	3	Character	Centauri	2	  	  	  	  		Fixed	Centauri	01-038 F2	Multiple.
Centauri Captain [Pr]	Premier	01-039	3	Character	Centauri	  	  	  	2	  		Fixed	Centauri	01-039 F2	Multiple.
Centauri Prime	Premier	01-040	10	Location	Centauri	  	  	  	  	20		Fixed	Centauri	01-040 F2	Location's Military may only be used to oppose conflicts targeting this location.  Whenever you gain influence from a conflict, rotate this location to gain +1 additional influence.
Centauri Telepath [Pr]	Premier	01-041	7	Character	Centauri	  	1	5	  	  		Common		01-041 C2	Rotate Centauri Telepath to look at 3 random cards from one player's hand.  You may place one of these cards on the top of his deck.
Change of Plans [Pr]	Premier	01-042	  	Event		  	  	  	  	  		Common		01-042 C2	Target all of your characters who are currently participants in the one conflict.  Apply 2 influence per targeted character.  Ready the targeted characters.  The support or opposition of those characters no longer applies to the conflict.  They cannot participate in the same conflict again. [ERRATA]
Changing Opinion [Pr]	Premier	01-043	1	Event		  	  	  	  	  		Common		01-043 C2	Move one of your own tension levels up or down 1.
Chaos Reigns [Pr]	Premier	01-044	1	Event		  	  	  	  	  		Common		01-044 C2	Requires 2 Shadow Marks to play.  Shuffle your hand into your deck.  Draw a new hand of cards, equal in size to the number of Shadow Marks you have.  All other players with Shadow Marks may do the same.
Chrysalis [Pr]	Premier	01-045	  	Event	Minbari	  	  	  	  	  		Uncommon		01-045 U2	Requires 2 Vorlon Marks and the Triluminary.  Rotate Delenn. Replace Delenn with Delenn transformed from your hand, and transfer her aftermaths and enhancements.  Your unrest increases by 2.  Neutralize Delenn transformed.
Colonial Fleet (Centauri) [Pr]	Premier	01-046	4	Fleet	Centauri	  	  	  	  	4		Fixed	Centauri	01-046 F2	Multiple. Can only participate in conflicts targeting you unless you are at war.
Colonial Fleet (Human) [Pr]	Premier	01-047	4	Fleet	Human	  	  	  	  	4		Fixed	Human	01-047 F2	Multiple. Can only participate in conflicts targeting you unless you are at war.
Colonial Fleet (Minbari) [Pr]	Premier	01-048	6	Fleet	Minbari	  	  	  	  	6		Fixed	Minbari	01-048 F2	Can only participate in conflicts targeting you.
Colonial Fleet (Narn) [Pr]	Premier	01-049	4	Fleet	Narn	  	  	  	  	4		Fixed	Narn	01-049 F2	Multiple. Can only participate in conflicts targeting you unless you are at war.
Combat Experience [Pr]	Premier	01-050	  	Aftermath	Military Participant	  	  	  	  	  		Common		01-050 C2	Participant character gains +1 Leadership.
Commerce Raiding [Pr]	Premier	01-051	7	Enhancement	Global	  	  	  	  	  		Uncommon		01-051 U2	All Free Trade states are suspended (they are not in effect), and your faction has +1 influence rating while Commerce Raiding is in play.  Any player may initiate a Military conflict with 10 automatic opposition.  If this conflict is successful, discard this enhancement. [ERRATA]
Commercial Telepaths [Pr]	Premier	01-052	6	Group		  	  	  	  	  		Uncommon		01-052 U2	Multiple.  Rotate this group and target a character who is not targeted by Commercial Telepaths.  That character gains a bonus to his Diplomacy equal to half his Psi, rounded up, while this group remains rotated. [ERRATA]
Compatible Goals [Pr]	Premier	01-053	  	Conflict	Diplomacy	  	  	  	  	  		Uncommon		01-053 U2	If this conflict succeeds by 5 or more, this card becomes aftermath targeting your ambassador.  Your ambassador may sponsor characters from any race whose ambassador is not in play at 2 less influence cost.
Competing Interests [Pr]	Premier	01-054	5	Event		  	  	  	  	  		Rare 2		01-054 R2	Rotate all of your characters with Vorlon marks.  You cannot play any other cards requiring Vorlon marks this turn.  All players must purge a number of Vorlon marks equal to half the number of Vorlon marks you have (round up).
Complete Support [Pr]	Premier	01-055	  	Conflict	Diplomacy	  	  	  	  	  		Uncommon		01-055 U2	Each character of your race gains +1 Diplomacy while this conflict is being resolved.  If this conflict succeeds by at least five times your unrest, alter one of your tensions to any level you desire. [ERRATA]
Concealed Weapon [Pr]	Premier	01-056	3	Enhancement	Character	  	  	  	  	  	Strife	Common		01-056 C2	Weapon. May not be used with any other Weapon enhancement.  Target character gains a Strife Mark. [ERRATA]
Concentrated Effort [Pr]	Premier	01-057	5	Event		  	  	  	  	  		Common		01-057 C2	You may initiate a second conflict during next turn's conflict round.  This second conflict must be from a conflict card. [ERRATA]
Condemn Deportations [Pr]	Premier	01-058	  	Conflict	Diplomacy	  	  	  	  	  		Common		01-058 C2	Target another race.  If this conflict is successful, the tensions of all races toward the target race increase by 1.  If any race was already at 5 tension toward the target race when this tension increase occurred, each faction of the target race loses 1 influence. [ERRATA]
Conflicting Desires [Pr]	Premier	01-059	5	Event		  	  	  	  	  		Rare 2		01-059 R2	Rotate all your characters with Shadow Marks.  You cannot play any other cards requiring Shadow Marks this turn.  All players must purge a number of Shadow Marks equal to half the number of Shadow Marks you have (rounded up).
Conflicting Loyalties [Pr]	Premier	01-060	10	Event		  	  	  	  	  		Rare 2		01-060 R2	Sponsor a limited character someone else has in play.  Both copies of the character become rotated supporting characters.  Whoever applies the most influence to promote the character on the next turn keeps the character, the other discards him (both discard if tied).  You must apply at least the amount you would normally require to promote the character.
Confusion in Chaos [Pr]	Premier	01-061	  	Event		  	  	  	  	  		Common		01-061 C2	Requires 2 Shadow Marks to play.  The action round ends.  Apply any amount of influence when played.  When played, any player may apply more influence than you applied to continue the round.
Consolidated Position [Pr]	Premier	01-062	  	Conflict	Diplomacy	  	  	  	  	  		Rare 2		01-062 R2	Only members of your race may participate in this conflict.  If the conflict is uncontested and support exceeds at least your unrest times 5, this card becomes an aftermath targeting your ambassador.  While in effect, no other player may play aftermath cards targeting your ambassador.
Contact with Shadows [Pr]	Premier	01-063	1	Event		  	  	  	  	  	Shadow	Common		01-063 C2	The Shadows gain 1 influence.  Target character you control gains a Shadow Mark.
Contact with Vorlons [Pr]	Premier	01-064	1	Event		  	  	  	  	  	Vorlon	Fixed	Minbari	01-064 F2	The Vorlons gain 1 influence.  Target character you control gains a Vorlon Mark.
Coordinated Fire [Pr]	Premier	01-065	  	Event		  	  	  	  	  		Common		01-065 C2	Rotate two of your fleets who can participate in the same conflict.  Both fleets attack a participant fleet of your choice, but the attacked fleet only damages one of your two fleets (his choice) in return. [ERRATA]
Counterintelligence [Pr]	Premier	01-066	8	Group		  	  	  	  	  		Rare 2		01-066 R2	Multiple.  Rotate and target an Intrigue conflict.  Your characters participating in that conflict take half damage, rounded up, when attacked
Court the Rebellious [Pr]	Premier	01-067	  	Conflict	Intrigue	  	  	  	  	  		Common		01-067 C2	If you win the conflict by 5 or more, this conflict becomes a faction enhancement for you which, when you sponsor a character loyal to a race beside your own, reduces the character's cost by his race's unrest.
Covert Allies [Pr]	Premier	01-068	8	Enhancement	Character	  	  	  	  	  		Rare 2		01-068 R2	The target character gains a bonus to his Intrigue equal to half his Diplomacy (excluding any bonus from Power Posturing), rounded up.  This bonus is recalculated each determine initiative step. [ERRATA]
Crisis of Self [Pr]	Premier	01-069	  	Aftermath	Lost	  	  	  	  	  		Uncommon		01-069 U2	Cannot target an ambassador. Rotate target participant character if he is ready.  Owner must apply twice the character's influence cost to ready him. Discard this aftermath when this cost is applied. [ERRATA]
Crusade [Pr]	Premier	01-070	  	Conflict	Military	  	  	  	  	  		Rare 2		01-070 R2	If successful, Babylon 5 gains +1 influence and this conflict gets returned to your hand.
Crystal Cities	Premier	01-071	6	Enhancement	Minbari Location	  	  	  	  	  		Fixed	Minbari	01-071 F2	Rotate this enhancement and apply influence.  For each 3 influence you apply, add +1 support or opposition to one Diplomacy conflict.
Cut Supply Lines [Pr]	Premier	01-072	1	Event		  	  	  	  	  		Common	Non-Aligned	01-072 C2	All players may use Intrigue to support or oppose a target Military conflict.
Cynthia Torqueman [Pr]	Premier	01-073	5	Character	Neutral	1	  	  	  	  		Uncommon		01-073 U2	Media Character.  Rotate Cynthia Torqueman to support or oppose any number of conflicts at the same time. You decide whether she supports or opposes each conflict. [ERRATA]
Damage Control Team [Pr]	Premier	01-074	6	Group		  	  	  	  	  		Rare 2		01-074 R2	Multiple.  Rotate and target one of your fleets.  That fleet takes half damage, rounded up, when attacked for the rest of the turn.
Dan Randall [Pr]	Premier	01-075	7	Character	Neutral	1	  	  	  	  		Common		01-075 C2	Media Character. Rotate Dan Randall and apply 3 influence to force another player to apply 4 influence (for no effect).
Decisive Tactics	Premier	01-076	1	Event		  	  	  	  	  		Fixed	Centauri, Human, Narn	01-076 F2	Target character gains +2 Leadership for this turn.  Target character gains an additional +1 Leadership for each Destiny Mark he has.
Declaration of War [Pr]	Premier	01-077	  	Event		  	  	  	  	  		Fixed	Centauri, Human, Minbari, Narn, Non-Aligned	01-077 F2	Requires a tension of 5 towards the target race.  Rotate your ambassador.  Your race and the target race are at war.
Deep Space Fleet (Centauri) [Pr]	Premier	01-078	6	Fleet	Centauri	  	  	  	  	5		Fixed	Centauri	01-078 F2	Multiple.
Deep Space Fleet (Human) [Pr]	Premier	01-079	6	Fleet	Human	  	  	  	  	5		Fixed	Human	01-079 F2	Multiple.
Deep Space Fleet (Minbari) [Pr]	Premier	01-080	7	Fleet	Minbari	  	  	  	  	6		Common		01-080 C2	Multiple.
Deep Space Fleet (Narn) [Pr]	Premier	01-081	5	Fleet	Narn	  	  	  	  	4		Fixed	Narn	01-081 F2	Multiple.
Defame Ambassador [Pr]	Premier	01-082	1	Event		  	  	  	  	  		Common		01-082 C2	All of the target ambassador's abilities are halved.  This effect expires at the end of the turn. [ERRATA]
Defense in Depth [Pr]	Premier	01-083	  	Agenda		  	  	  	  	  		Uncommon		01-083 U2	All of your fleets gain +2 Military while you are the target of a Military conflict.  All of your locations gain +5 Military.  Your influence rating is increased by 1 for each location of your race you control. [ERRATA]
Delenn Transformed [Pr]	Premier	01-084	  	Character	Minbari	7	  	  	4	  	2x Destiny, 2x Vorlon	Rare 2		01-084 R2	Religious Caste.  You may sponsor character from other races at -2 cost.  The Chrysalis event is required to bring Delenn Transformed into play.
Delenn [Pr]	Premier	01-085	  	Character	Minbari	6	  	  	3	  	Destiny, Vorlon	Fixed	Minbari	01-085 F2	Minbari Starting Ambassador.  Grey Council Member.  Religious Caste.
Demonstrative Victory [Pr]	Premier	01-086	  	Conflict	Diplomacy	  	  	  	  	  		Rare 2		01-086 R2	Any player may be supported in this conflict.  Any player who generates a total of 10 or more below the highest generated total may not gain more than 1 influence per turn for the rest of the game. If any players suffer this effect, the conflict becomes a global aftermath affecting their factions. This effect is negated for any player if his homeworld is in play.
Despair [Pr]	Premier	01-087	  	Aftermath	Lost	  	  	  	  	  		Rare 2		01-087 R2	Target a player with a Doom mark.  Whenever the player loses a conflict, all of his characters have -1 to each ability on the following turn (minimum 0).
Destiny Fulfilled [Pr]	Premier	01-088	1	Event		  	  	  	  	  		Fixed	Centauri	01-088 F2	For the rest of the turn, all your ambassador's abilities increase by +1 for each Destiny Mark he has.  For an additional 5 influence, all your other characters gain +1 to each of their abilities for each Destiny Mark they have.  For an additional 5 influence (11 total), this card becomes a permanent enhancement for your ambassador (with the bonus fixed at play). [ERRATA]
Develop Relationship [Pr]	Premier	01-089	  	Aftermath	Participant	  	  	  	  	  		Uncommon		01-089 U2	Target another player's supporting character, after that character supports one of your conflicts. That character gains +1 to all his abilities, but if he ever attacks your characters or opposes one of your conflicts, discard him.
Dhaliri [Pr]	Premier	01-090	8	Character	Minbari	6	2	  	  	  		Uncommon		01-090 U2	Grey Council Member.  Religious Caste.  When Dhaliri is neutralized, he suffers 1 additional point of severe damage.
Diplomatic Advantage [Pr]	Premier	01-091	  	Aftermath	Won Diplomacy	  	  	  	  	  		Rare 2		01-091 R2	Play on your ambassador. You must have won the conflict by 10 or more strength.  You may draw 2 free cards instead of 1 during the draw round.
Diplomatic Blunder [Pr]	Premier	01-092	1	Event		  	  	  	  	  		Common		01-092 C2	Target ready character with Diplomacy greater than 1 has his Diplomacy lowered to 1. (Bonuses applied later this turn raise the ability from the new base of 1.)  This effect expires at the end of the turn. [ERRATA]
Diplomatic Corps [Pr]	Premier	01-093	8	Group		  	  	  	  	  		Common		01-093 C2	Rotate and target a character. That character gains +2 Diplomacy while this group remains rotated. [ERRATA]
Diplomatic Immunity [Pr]	Premier	01-094	1	Event		  	  	  	  	  		Common		01-094 C2	Target player's ambassador and ambassador's assistant cannot be attacked this turn.
Disaffected Centauri [Pr]	Premier	01-095	6	Character	Neutral	2	  	  	  	  		Rare 2		01-095 R2	Multiple.  Each player may only have 1 Disaffected Centauri in play.  While Disaffected Centauri is a member of your Inner Circle, you may sponsor Centauri characters at normal (instead of double) influence cost.  If you use this ability, you cannot apply any other cost reduction. [ERRATA]
Disaffected Human [Pr]	Premier	01-096	6	Character	Neutral	2	  	  	  	  		Rare 2		01-096 R2	Multiple.  Each player may only have 1 Disaffected Human in play.  While Disaffected Human is a member of your Inner Circle, you may sponsor Human characters at normal (instead of double) influence cost.  If you use this ability, you cannot apply any other cost reduction. [ERRATA]
Disaffected Minbari [Pr]	Premier	01-097	6	Character	Neutral	2	  	  	  	  		Rare 2		01-097 R2	Multiple.  Each player may only have 1 Disaffected Minbari in play.  While Disaffected Minbari is a member of your Inner Circle, you may sponsor Minbari characters at normal (instead of double) influence cost.  If you use this ability, you cannot apply any other cost reduction. [ERRATA]
Disaffected Narn [Pr]	Premier	01-098	6	Character	Neutral	2	  	  	  	  		Rare 2		01-098 R2	Multiple.  Each player may only have 1 Disaffected Narn in play.  While Disaffected Narn is a member of your Inner Circle, you may sponsor Narn characters at normal (instead of double) influence cost.  If you use this ability, you cannot apply any other cost reduction. [ERRATA]
Disenchantment [Pr]	Premier	01-099	  	Aftermath	Lost	  	  	  	  	  		Uncommon		01-099 U2	Demote target participant Inner Circle character, other than an ambassador, to a supporting character.  The target character does not ready during the next ready round.  (Discard this aftermath after play.) [ERRATA]
Disgrace [Pr]	Premier	01-100	  	Aftermath	Lost Military	  	  	  	  	  		Rare 2		01-100 R2	Target a participating supporting character. Fleets led by the character may not support or attack during conflicts initiated by his controller.
Dishonor	Premier	01-101	  	Conflict	Intrigue	  	  	  	  	  		Fixed	Centauri	01-101 F2	Target another player's ambassador. Diplomacy may be used to support or oppose the conflict.  If successful, this card becomes an aftermath on the target ambassador, reducing all his abilities by 1 per 5 points by which the conflict succeeded (to a minimum of 0).
Draal	Premier	01-102	6	Character	Minbari	3	  	  	  	  		Fixed	Minbari	01-102 F2	Religious Caste.  When attacking or being attacked, Draal applies his damage before his opponent.
Draft [Pr]	Premier	01-103	1	Enhancement	Faction	  	  	  	  	  		Uncommon		01-103 U2	If the target player is at war, his cost to sponsor fleets and any characters with Leadership 2 or higher is reduced by 1.
Drazi Sunhawk [Pr]	Premier	01-104	4	Fleet	Non-Aligned	  	  	  	  	4		Common	Non-Aligned	01-104 C2	Multiple. Any player may sponsor this fleet at double normal influence cost.  If Drazi Sunhawk becomes damaged, discard it during next draw round.
Drigo	Premier	01-105	8	Character	Centauri	2	4	  	  	  		Fixed	Centauri	01-105 F2	You may play character enhancements on Drigo at -2 influence cost.
Du'Nar [Pr]	Premier	01-106	11	Character	Narn	7	4	  	4	  		Uncommon		01-106 U2	Member of the Ka'Rhi.  If Du'Nar is injured but not neutralized, remove 1 damage token from him during each ready round.
Du'Rog [Pr]	Premier	01-107	8	Character	Narn	4	3	  	  	  		Common		01-107 C2	If Du'Rog is discarded from play, you may cause 4 points of damage to any Narn character. [ERRATA]
Durlan [Pr]	Premier	01-108	8	Character	Minbari	6	1	  	  	  		Common		01-108 C2	Grey Council Member.  Worker Caste.  Rotate to give a character +1 Leadership for the rest of the turn.
Early Warning [Pr]	Premier	01-109	  	Event		  	  	  	  	  		Fixed	Minbari	01-109 F2	Rotate a character with 2 or more Vorlon Marks.  Apply the Vorlon's influence as opposition to a target Intrigue conflict.  The Vorlons then gain +1 influence. [ERRATA]
Earth [Pr]	Premier	01-110	10	Location	Human	  	  	  	  	15		Fixed	Human	01-110 F2	Human Homeworld.   Location's Military may only be used to oppose conflicts targeting this location.  Whenever you gain influence from a conflict, rotate this location to gain +1 additional influence.
Elric [Pr]	Premier	01-111	7	Character	Neutral	4	  	  	  	  		Rare 2		01-111 R2	Techno-mage.  Treat Elric as a Seeress.  Discard Elric if the Shadow War has started.  Discard Elric if you have any Shadow Marks or Vorlon Marks.
Emergency Military Aid [Pr]	Premier	01-112	  	Event		  	  	  	  	  		Common		01-112 C2	For every 2 influence you apply when playing this card, apply 1 Military to support or oppose target conflict.
Emperor Turhan [Pr]	Premier	01-113	11	Character	Centauri	9	3	  	  	  		Rare 2		01-113 R2	Centauri Emperor.  Emperor Turhan cannot become an Inner Circle character.  Rotate to alter any Centauri tension by 1. [ERRATA]
Energy Mines [Pr]	Premier	01-114	6	Enhancement	Narn Fleet	  	  	  	  	  		Fixed	Narn	01-114 F2	All fleets attacking or being attacked by the target fleet suffer 1 point of damage before the attack is resolved.
Enrage [Pr]	Premier	01-115	  	Aftermath	Lost Diplomacy	  	  	  	  	  		Uncommon		01-115 U2	Target ambassador must apply 1 influence each turn at the beginning of the action round, or his Diplomacy ability for the turn is 0.
Establish Base [Pr]	Premier	01-116	  	Conflict	Military	  	  	  	  	  		Uncommon		01-116 U2	If any fleet attacks occur this conflict, Babylon 5 loses 2 influence.  If successful, this conflict becomes a faction enhancement for you. While in play, your fleets gain +1 Military, and gain additional +1 Military while you are the target of a Military conflict.
Euphrates Treaty	Premier	01-117	  	Conflict	Diplomacy	  	  	  	  	  		Fixed	Narn	01-117 F2	Unique.  Target the Narn or the Centauri. Narn - Centauri tension drops by 1. Narn and Centauri characters gain +2 Diplomacy while participating in this conflict. If successful, the target race gains +1 influence and gains +1 additional influence for each 10 strength by which the conflict succeeded. If it fails, the other race gains both these benefits.
Expeditionary Fleet (Centauri)	Premier	01-118	7	Fleet	Centauri	  	  	  	  	5		Fixed	Centauri	01-118 F2	If you have tension toward another race at 5, you may rotate this fleet to attack any fleet from that race.  Fleets from that race may attack this fleet in return.
Expeditionary Fleet (Human)	Premier	01-119	7	Fleet	Human	  	  	  	  	5		Fixed	Human	01-119 F2	If you have tension toward another race at 5, you may rotate this fleet to attack any fleet from that race.  Fleets from that race may attack this fleet in return.
Expeditionary Fleet (Minbari)	Premier	01-120	10	Fleet	Minbari	  	  	  	  	8		Fixed	Minbari	01-120 F2	If you have tension toward another race at 5, you may rotate this fleet to attack any fleet from that race.  Fleets from that race may attack this fleet in return.
Expeditionary Fleet (Narn)	Premier	01-121	8	Fleet	Narn	  	  	  	  	6		Fixed	Narn	01-121 F2	If you have tension toward another race at 5, you may rotate this fleet to attack any fleet from that race.  Fleets from that race may attack this fleet in return.
Exploit Opportunities [Pr]	Premier	01-122	  	Aftermath	Won Intrigue	  	  	  	  	  		Fixed	Centauri, Non-Aligned	01-122 F2	Target ambassador gains +1 Intrigue and +1 Diplomacy.
